"filename", "language", "Dart", "Kotlin", "XML", "comment", "blank", "total"
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\android\app\src\main\kotlin\com\example\enetcom_app\MainActivity.kt", "Kotlin", 0, 4, 0, 0, 3, 7
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\images\facebook.svg", "XML", 0, 0, -1, 0, 0, -1
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\images\google_plus.svg", "XML", 0, 0, -46, -1, -1, -48
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\images\twitter.svg", "XML", 0, 0, -46, -1, -1, -48
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\controllers\feature_controller.dart", "Dart", 0, 0, 0, -2, 0, -2
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\controllers\user_controller.dart", "Dart", 12, 0, 0, 117, 18, 147
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\data\data.dart", "Dart", -9, 0, 0, 59, -1, 49
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\main.dart", "Dart", 1, 0, 0, -2, -1, -2
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\models\feature.dart", "Dart", 0, 0, 0, -23, 0, -23
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\models\feature_model.dart", "Dart", 0, 0, 0, -10, -2, -12
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\models\post_model.dart", "Dart", -19, 0, 0, 19, 2, 2
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\services\http_feature_service.dart", "Dart", 0, 0, 0, -2, 0, -2
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\services\http_user_service.dart", "Dart", 23, 0, 0, 1, 5, 29
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\add_feature_screen.dart", "Dart", 387, 0, 0, 3, 19, 409
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\admin_dashboard.dart", "Dart", 164, 0, 0, 47, 1, 212
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\widgets\feature_container.dart", "Dart", 142, 0, 0, 16, 11, 169
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\widgets\new_post_container.dart", "Dart", 19, 0, 0, 22, 2, 43
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\widgets\post_shimmer.dart", "Dart", 105, 0, 0, 1, 5, 111
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\widgets\student_card.dart", "Dart", 20, 0, 0, 0, 2, 22
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\current_profile_screen.dart", "Dart", 67, 0, 0, 1, 2, 70
